===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.18%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.13%     85.31MiB / 2.711GiB   3.07%     73.5kB / 65.5kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     194.1MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.96MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.35%     204.1MiB / 2.711GiB   7.35%     92.1kB / 87.6kB   7.14MB / 24.9MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.98%     11.01MiB / 2.711GiB   0.40%     44.3MB / 45.2MB   10.9MB / 106kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              97.54%    108.3MiB / 2.711GiB   3.90%     132MB / 69.9MB    80.5MB / 203MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.71%     17.47MiB / 2.711GiB   0.63%     306kB / 310kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:32:43.0005121+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          21.47%    93.83MiB / 2.711GiB   3.38%     48.2MB / 1.37MB   22.8MB / 41kB     2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            306.04%   313.2MiB / 2.711GiB   11.28%    81.5MB / 198MB    14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.9MiB / 2.711GiB   7.09%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.35%     84.89MiB / 2.711GiB   3.06%     76.9kB / 67.5kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.9MiB / 2.711GiB   6.98%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.93MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.13%     202.9MiB / 2.711GiB   7.31%     97.8kB / 92.3kB   7.14MB / 25.7MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.74%     11.46MiB / 2.711GiB   0.41%     49.5MB / 50.5MB   10.9MB / 131kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              178.30%   114.4MiB / 2.711GiB   4.12%     152MB / 80.6MB    80.7MB / 220MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           8.02%     17.19MiB / 2.711GiB   0.62%     312kB / 318kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:32:50.4965599+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          25.45%    93.73MiB / 2.711GiB   3.38%     54.5MB / 1.53MB   22.8MB / 41kB     2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            351.61%   313.3MiB / 2.711GiB   11.29%    92MB / 224MB      14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.12%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.16%     84.75MiB / 2.711GiB   3.05%     80.7kB / 68.7kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     193.9MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.93MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.18%     201.8MiB / 2.711GiB   7.27%     103kB / 97.5kB    7.14MB / 27.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           9.75%     11.42MiB / 2.711GiB   0.41%     56.7MB / 57.8MB   10.9MB / 131kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              110.85%   120.1MiB / 2.711GiB   4.33%     172MB / 90.7MB    80.9MB / 251MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.72%     16.81MiB / 2.711GiB   0.61%     318kB / 326kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:32:57.8863847+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          21.53%    93.65MiB / 2.711GiB   3.37%     59.7MB / 1.68MB   22.8MB / 41kB     2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            353.68%   313.9MiB / 2.711GiB   11.31%    100MB / 245MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.11%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          27.51%    84.98MiB / 2.711GiB   3.06%     84.4kB / 70.4kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.16%     193.9MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.92MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.42%     201.4MiB / 2.711GiB   7.26%     110kB / 103kB     7.14MB / 27.6MB   5
