===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.69MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.23%     190.4MiB / 2.711GiB   6.86%     217kB / 197kB     7.14MB / 38.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.76%     11.76MiB / 2.711GiB   0.42%     168MB / 171MB     10.9MB / 463kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              95.06%    192.8MiB / 2.711GiB   6.94%     493MB / 258MB     87.9MB / 732MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.53%     16.57MiB / 2.711GiB   0.60%     434kB / 495kB     69.8MB / 106kB    6
===== 2026-06-17T14:35:23.6353601+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          15.22%    92.59MiB / 2.711GiB   3.34%     166MB / 4.3MB     22.8MB / 1.27MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            163.50%   314.4MiB / 2.711GiB   11.33%    273MB / 672MB     14.9MB / 135kB    13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.10%     84.01MiB / 2.711GiB   3.03%     157kB / 100kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.68MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.25%     190.3MiB / 2.711GiB   6.86%     223kB / 202kB     7.14MB / 39.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.81%     11.85MiB / 2.711GiB   0.43%     172MB / 176MB     10.9MB / 475kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              77.61%    193.3MiB / 2.711GiB   6.97%     507MB / 265MB     88MB / 749MB      14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.60%     16.57MiB / 2.711GiB   0.60%     441kB / 505kB     69.8MB / 106kB    6
===== 2026-06-17T14:35:31.1470627+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          19.43%    91.88MiB / 2.711GiB   3.31%     171MB / 4.41MB    22.8MB / 1.56MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            290.34%   315.4MiB / 2.711GiB   11.36%    280MB / 689MB     14.9MB / 406kB    13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.17%     83.99MiB / 2.711GiB   3.03%     160kB / 101kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.68MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.28%     189.8MiB / 2.711GiB   6.84%     227kB / 206kB     7.14MB / 39.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.30%     11.5MiB / 2.711GiB    0.41%     177MB / 180MB     10.9MB / 492kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              103.17%   193.2MiB / 2.711GiB   6.96%     519MB / 272MB     88MB / 795MB      20
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           5.56%     17.19MiB / 2.711GiB   0.62%     446kB / 512kB     69.8MB / 119kB    6
===== 2026-06-17T14:35:38.0186350+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          9.30%     91.98MiB / 2.711GiB   3.31%     175MB / 4.52MB    22.8MB / 1.56MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            104.05%   314MiB / 2.711GiB     11.31%    287MB / 707MB     14.9MB / 406kB    13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.23%     83.99MiB / 2.711GiB   3.03%     164kB / 103kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     193.3MiB / 2.711GiB   6.96%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.68MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.31%     189.8MiB / 2.711GiB   6.84%     234kB / 213kB     7.14MB / 39.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.83%     11.15MiB / 2.711GiB   0.40%     182MB / 185MB     10.9MB / 492kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              38.20%    192.8MiB / 2.711GiB   6.95%     533MB / 279MB     88MB / 812MB      14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.55%     16.78MiB / 2.711GiB   0.60%     451kB / 519kB     69.8MB / 127kB    6
===== 2026-06-17T14:35:45.4839312+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          7.90%     91.29MiB / 2.711GiB   3.29%     180MB / 4.63MB    22.8MB / 2.2MB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            152.56%   314.5MiB / 2.711GiB   11.33%    295MB / 724MB     14.9MB / 1.34MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     83.91MiB / 2.711GiB   3.02%     167kB / 104kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.64MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.11%     189.3MiB / 2.711GiB   6.82%     239kB / 217kB     7.14MB / 40.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.46%     11.53MiB / 2.711GiB   0.42%     186MB / 190MB     10.9MB / 520kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              56.75%    193.7MiB / 2.711GiB   6.98%     546MB / 286MB     88.4MB / 831MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     16.98MiB / 2.711GiB   0.61%     458kB / 528kB     69.8MB / 135kB    6
===== 2026-06-17T14:35:52.8116655+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          11.90%    90.76MiB / 2.711GiB   3.27%     183MB / 4.73MB    22.8MB / 2.63MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            4.34%     314.2MiB / 2.711GiB   11.32%    302MB / 741MB     14.9MB / 1.9MB    13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.30%     84.16MiB / 2.711GiB   3.03%     170kB / 106kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.64MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.14%     188.2MiB / 2.711GiB   6.78%     245kB / 222kB     7.14MB / 41.1MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.26%     11.48MiB / 2.711GiB   0.41%     190MB / 194MB     10.9MB / 537kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              1.23%     196.9MiB / 2.711GiB   7.09%     558MB / 293MB     89.1MB / 865MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.48%     16.45MiB / 2.711GiB   0.59%     465kB / 538kB     69.8MB / 135kB    6
===== 2026-06-17T14:36:00.3452082+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          21.33%    90.67MiB / 2.711GiB   3.27%     188MB / 4.83MB    22.8MB / 2.63MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            370.74%   313.6MiB / 2.711GiB   11.30%    309MB / 760MB     14.9MB / 1.9MB    13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.10%     83.91MiB / 2.711GiB   3.02%     175kB / 109kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.64MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     187.9MiB / 2.711GiB   6.77%     250kB / 227kB     7.14MB / 41.1MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.57%     10.68MiB / 2.711GiB   0.38%     195MB / 199MB     10.9MB / 537kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              115.08%   198.9MiB / 2.711GiB   7.16%     572MB / 301MB     89.1MB / 887MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.58%     16.93MiB / 2.711GiB   0.61%     471kB / 546kB     69.8MB / 135kB    6
===== 2026-06-17T14:36:07.0099807+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          15.49%    90.93MiB / 2.711GiB   3.28%     193MB / 4.96MB    22.8MB / 2.63MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            300.85%   314.2MiB / 2.711GiB   11.32%    319MB / 781MB     14.9MB / 1.9MB    13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.11%     196.5MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.66MiB / 2.711GiB   3.01%     179kB / 110kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     193.4MiB / 2.711GiB   6.97%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.64MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.29%     188.4MiB / 2.711GiB   6.79%     256kB / 232kB     7.14MB / 41.1MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.54%     11.31MiB / 2.711GiB   0.41%     201MB / 205MB     10.9MB / 537kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              100.90%   200MiB / 2.711GiB     7.20%     588MB / 309MB     89.1MB / 899MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.52%     17.26MiB / 2.711GiB   0.62%     477kB / 555kB     69.8MB / 135kB    6
===== 2026-06-17T14:36:14.3044454+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          5.79%     88.66MiB / 2.711GiB   3.19%     196MB / 5.03MB    22.8MB / 3.54MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            52.30%    308.1MiB / 2.711GiB   11.10%    322MB / 791MB     14.9MB / 7.99MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.11%     195.7MiB / 2.711GiB   7.05%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.10%     83.21MiB / 2.711GiB   3.00%     183kB / 112kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.7MiB / 2.711GiB   6.94%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.37MiB / 2.711GiB   2.90%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.63%     180.5MiB / 2.711GiB   6.50%     262kB / 237kB     7.14MB / 49MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.46%     11.27MiB / 2.711GiB   0.41%     203MB / 207MB     10.9MB / 811kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              21.42%    198.3MiB / 2.711GiB   7.14%     596MB / 313MB     89.3MB / 908MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.57%     15.32MiB / 2.711GiB   0.55%     482kB / 563kB     69.9MB / 266kB    6
===== 2026-06-17T14:36:21.9041122+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          7.20%     88.87MiB / 2.711GiB   3.20%     199MB / 5.1MB     22.8MB / 3.54MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            114.98%   308.4MiB / 2.711GiB   11.11%    328MB / 803MB     14.9MB / 7.99MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     195.7MiB / 2.711GiB   7.05%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     82.96MiB / 2.711GiB   2.99%     186kB / 113kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.7MiB / 2.711GiB   6.94%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.37MiB / 2.711GiB   2.90%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.04%     180.6MiB / 2.711GiB   6.51%     267kB / 242kB     7.14MB / 49.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.20%     11.16MiB / 2.711GiB   0.40%     206MB / 210MB     10.9MB / 811kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              61.89%    200.1MiB / 2.711GiB   7.21%     605MB / 319MB     89.3MB / 922MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.52%     16.27MiB / 2.711GiB   0.59%     488kB / 572kB     70.3MB / 266kB    6
===== 2026-06-17T14:36:29.0935113+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          16.49%    88.83MiB / 2.711GiB   3.20%     205MB / 5.23MB    22.8MB / 3.54MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            293.15%   307.5MiB / 2.711GiB   11.08%    337MB / 825MB     14.9MB / 8.06MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     195.6MiB / 2.711GiB   7.05%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.35%     83.68MiB / 2.711GiB   3.01%     189kB / 115kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     192.7MiB / 2.711GiB   6.94%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.35MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     179.3MiB / 2.711GiB   6.46%     273kB / 247kB     7.14MB / 49.9MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.32%     10.77MiB / 2.711GiB   0.39%     212MB / 217MB     10.9MB / 811kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              93.24%    200MiB / 2.711GiB     7.21%     621MB / 328MB     89.5MB / 957MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.73%     16.15MiB / 2.711GiB   0.58%     495kB / 581kB     70.3MB / 266kB    6
===== 2026-06-17T14:36:36.4773277+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          9.12%     88.28MiB / 2.711GiB   3.18%     208MB / 5.32MB    22.8MB / 3.54MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            284.61%   306.6MiB / 2.711GiB   11.05%    343MB / 838MB     14.9MB / 8.06MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     195.6MiB / 2.711GiB   7.05%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.07%     83.92MiB / 2.711GiB   3.02%     193kB / 116kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     192.7MiB / 2.711GiB   6.94%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.35MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.19%     179.5MiB / 2.711GiB   6.47%     279kB / 252kB     7.14MB / 49.9MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.02%     11.11MiB / 2.711GiB   0.40%     216MB / 220MB     10.9MB / 811kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              14.58%    200.2MiB / 2.711GiB   7.21%     632MB / 333MB     89.5MB / 964MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     15.81MiB / 2.711GiB   0.57%     501kB / 590kB     70.3MB / 266kB    6
===== 2026-06-17T14:36:43.9484246+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          4.42%     88.2MiB / 2.711GiB    3.18%     210MB / 5.36MB    22.8MB / 3.57MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            181.84%   304.9MiB / 2.711GiB   10.98%    347MB / 849MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.10%     83.23MiB / 2.711GiB   3.00%     197kB / 118kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.13%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.23%     176.5MiB / 2.711GiB   6.36%     285kB / 257kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.61%     11.06MiB / 2.711GiB   0.40%     218MB / 223MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              174.09%   258.4MiB / 2.711GiB   9.31%     639MB / 337MB     92.3MB / 975MB    15
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           4.57%     16.11MiB / 2.711GiB   0.58%     506kB / 597kB     70.3MB / 266kB    6
===== 2026-06-17T14:36:51.3911204+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          9.57%     88.1MiB / 2.711GiB    3.17%     213MB / 5.43MB    22.8MB / 3.65MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            79.55%    304.9MiB / 2.711GiB   10.99%    352MB / 859MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.14%     83.23MiB / 2.711GiB   3.00%     200kB / 119kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.45%     176.2MiB / 2.711GiB   6.35%     290kB / 262kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.88%     10.64MiB / 2.711GiB   0.38%     221MB / 225MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              31.22%    203.3MiB / 2.711GiB   7.32%     646MB / 342MB     94.6MB / 1GB      14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.62%     15.14MiB / 2.711GiB   0.55%     512kB / 606kB     70.6MB / 287kB    6
===== 2026-06-17T14:36:58.0346860+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          17.00%    88.37MiB / 2.711GiB   3.18%     218MB / 5.54MB    22.8MB / 3.65MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            302.70%   303.8MiB / 2.711GiB   10.94%    359MB / 877MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.34%     83.47MiB / 2.711GiB   3.01%     204kB / 121kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.36%     176.4MiB / 2.711GiB   6.36%     296kB / 267kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.11%     10.71MiB / 2.711GiB   0.39%     226MB / 231MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              104.76%   208.4MiB / 2.711GiB   7.51%     661MB / 350MB     97.5MB / 1.04GB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           4.21%     15.05MiB / 2.711GiB   0.54%     519kB / 616kB     70.7MB / 287kB    6
===== 2026-06-17T14:37:05.5124214+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          21.75%    88.29MiB / 2.711GiB   3.18%     222MB / 5.64MB    22.8MB / 3.65MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            71.04%    303.8MiB / 2.711GiB   10.95%    367MB / 897MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.47MiB / 2.711GiB   3.01%     207kB / 122kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.16%     176.2MiB / 2.711GiB   6.35%     301kB / 271kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.93%     10.76MiB / 2.711GiB   0.39%     231MB / 236MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              112.24%   209.3MiB / 2.711GiB   7.54%     674MB / 356MB     97.5MB / 1.06GB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     15.22MiB / 2.711GiB   0.55%     524kB / 623kB     70.7MB / 287kB    6
===== 2026-06-17T14:37:13.0690430+01:00 =====
